"","ID","COUNTY","NAME","STNAME","POPESTIMATE2015","CTYNAME","TOT_POP","TOT_MALE","TOT_FEMALE","WHITE","HISPANIC","BLACK","ASIAN","NATIVE","OTHER","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","00..10","10..15","15..25","25..35","35..50","50..75","75..100","100..150","150..200","200..999","LESS_THAN_HS","HS_DEGREE","SOME_COLLEGE","BS_DEGREE"
"324",324,"52048","Montigny-le-Tilleul","Wallonie",10141,"Montigny-le-Tilleul",10141,0.469776156197614,0.530223843802386,1,0,0,0,0,0,0.0386549649935904,0.0456562469184499,0.0538408440982152,0.0564046938171778,0.0521644808204319,0.0442757124543931,0.0520658712158564,0.0561088650034513,0.0659698254609999,0.0647865102060941,0.0685336751799625,0.0674489695296322,0.0771127107780298,0.0709989152943497,0.0640962429740657,0.0508825559609506,0.0291884429543438,0.0418104723400059,0,0,0.11,0.255,0.345,0.187,0.077,0.026,0,0,0.36390492815899,0.342016919564925,0.0193366456291124,0.274741506646972
"325",325,"52055","Pont-à-Celles","Wallonie",17650,"Pont-à-Celles",17650,0.487875354107649,0.512124645892351,1,0,0,0,0,0,0.0495184135977337,0.055070821529745,0.061586402266289,0.0624362606232295,0.0551841359773371,0.0535410764872521,0.0660623229461756,0.0676487252124646,0.0677620396600567,0.0684985835694051,0.0706515580736544,0.0644759206798867,0.0648158640226629,0.060056657223796,0.0487818696883853,0.0420963172804533,0.0211331444759207,0.0206798866855524,0,0,0.11,0.255,0.345,0.187,0.077,0.026,0,0,0.406461488881727,0.34531098936513,0.0215920077344505,0.226635514018692
"326",326,"52074","Aiseau-Presles","Wallonie",10978,"Aiseau-Presles",10978,0.485698670067408,0.514301329932592,1,0,0,0,0,0,0.0510111131353616,0.0541082164328657,0.0591182364729459,0.061850974676626,0.0577518673711058,0.0538349426124977,0.0714155583895063,0.0654946256148661,0.063854982692658,0.06130442703589,0.0656768081617781,0.0671342685370741,0.0734195664055383,0.062944069958098,0.0514665695026416,0.0396247039533613,0.0213153579887047,0.0186737110584806,0,0,0.11,0.255,0.345,0.187,0.077,0.026,0,0,0.464897466827503,0.345597104945718,0.0258142340168878,0.163691194209891
"327",327,"52075","Les Bons Villers","Wallonie",9586,"Les Bons Villers",9586,0.485499687043605,0.514500312956395,1,0,0,0,0,0,0.0462132276236178,0.0520550803254747,0.0532025871061965,0.0574796578343417,0.0563321510536199,0.056123513457125,0.0607135405800125,0.0686417692468183,0.058940121009806,0.0646776549134154,0.0754224911329022,0.0691633632380555,0.0659294804923847,0.0611308157730023,0.0480909659920718,0.0446484456499061,0.0242019611934071,0.0370331733778427,0,0,0.11,0.255,0.345,0.187,0.077,0.026,0,0,0.384968190560734,0.338659565024412,0.0247077970113922,0.251664447403462
"328",328,"53014","Boussu","Wallonie",20283,"Boussu",20283,0.476063698663906,0.523936301336094,1,0,0,0,0,0,0.0535916777597002,0.0546270275600256,0.060839126361978,0.0611842429620865,0.0592121481043238,0.0603461026475373,0.0692698318789134,0.0658186658778287,0.0614307548193068,0.0602474979046492,0.0651284326776118,0.0663116895922694,0.0667061085638219,0.0625154069910763,0.0516688852733816,0.0372725928117142,0.020805600749396,0.023024207464379,0,0,0.11,0.255,0.345,0.187,0.077,0.026,0,0,0.500524865503215,0.351003805274898,0.0181078598609106,0.130363469360976
"329",329,"53020","Dour","Wallonie",16567,"Dour",16567,0.484275970302408,0.515724029697592,1,0,0,0,0,0,0.0495563469547896,0.0546870284300115,0.0609645681173417,0.0597573489467013,0.0630772016659625,0.0601195146978934,0.0648880304219231,0.061749260578258,0.0648880304219231,0.0636204502927507,0.0692943803947607,0.0621114263294501,0.0638618941268787,0.0627753968733023,0.0517897024204744,0.0399589545481982,0.0213677793203356,0.0255326854590451,0,0,0.11,0.255,0.345,0.187,0.077,0.026,0,0,0.45568226504129,0.361462839166339,0.019347227683838,0.163507668108533
"330",330,"53028","Frameries","Wallonie",21671,"Frameries",21671,0.475058834386969,0.524941165613031,1,0,0,0,0,0,0.0487287157953025,0.0577730607724609,0.0613261962992017,0.0614646301508929,0.0607263162752065,0.0541737806284897,0.0643717410364081,0.0602648701029025,0.0623875224955009,0.0653869226154769,0.0712011443865073,0.0674172857736145,0.0600341470167505,0.0639102948641041,0.0528355867288081,0.0465599187854737,0.0180425453370864,0.0233953209358128,0,0,0.11,0.255,0.345,0.187,0.077,0.026,0,0,0.467903343910178,0.34964608249939,0.0200146448620942,0.162435928728338
"331",331,"53039","Hensies","Wallonie",6816,"Hensies",6816,0.479460093896714,0.520539906103286,1,0,0,0,0,0,0.0441607981220657,0.0469483568075117,0.0605927230046948,0.0610328638497653,0.0608861502347418,0.0547241784037559,0.0619131455399061,0.0602992957746479,0.065580985915493,0.068075117370892,0.0773180751173709,0.0663145539906103,0.0664612676056338,0.0651408450704225,0.0578051643192488,0.0413732394366197,0.0211267605633803,0.0202464788732394,0,0,0.11,0.255,0.345,0.187,0.077,0.026,0,0,0.43980343980344,0.370818370818371,0.0185220185220185,0.170856170856171
"332",332,"53044","Jurbise","Wallonie",10868,"Jurbise",10868,0.488866396761134,0.511133603238866,1,0,0,0,0,0,0.041682002208318,0.0543798306956202,0.0658814869341185,0.0619249171880751,0.0513433934486566,0.0441663599558336,0.0547478836952521,0.0661575266838425,0.0756348914243651,0.0725984541774015,0.0773831431726169,0.0758189179241811,0.0656054471843946,0.0548398969451601,0.0548398969451601,0.041958041958042,0.0198748619801251,0.021163047478837,0,0,0.11,0.255,0.345,0.187,0.077,0.026,0,0,0.325297705489399,0.364072030206216,0.0168457740342724,0.293784490270113
"333",333,"53046","Lens","Wallonie",4636,"Lens",4636,0.485332182916307,0.514667817083693,1,0,0,0,0,0,0.0504745470232959,0.0562985332182916,0.0703192407247627,0.0610440034512511,0.0608283002588438,0.0537100949094047,0.0610440034512511,0.069672131147541,0.0804572907679034,0.0632010353753236,0.0742018981880932,0.0632010353753236,0.0597497842968076,0.0554357204486626,0.0493960310612597,0.0312769628990509,0.0181190681622088,0.0215703192407248,0,0,0.11,0.255,0.345,0.187,0.077,0.026,0,0,0.350843680356574,0.373447946513849,0.0257879656160458,0.249920407513531
"334",334,"53053","Mons","Wallonie",96358,"Mons",96358,0.490773988667262,0.509226011332738,1,0,0,0,0,0,0.0464413956288009,0.0528134664480375,0.0575458187176986,0.0575146848211877,0.0647688827082339,0.0667614520849333,0.0700824010460989,0.0671973266360863,0.0673322401876336,0.0666057826023786,0.0674463978081737,0.0639178895369352,0.0601506880591129,0.056518400132838,0.0485169887295295,0.0395504265343822,0.0218559953506715,0.0249797629672679,0,0,0.11,0.255,0.345,0.187,0.077,0.026,0,0,0.426457378621561,0.346573694867774,0.0190307994458231,0.207938127064842
"335",335,"53065","Quaregnon","Wallonie",18959,"Quaregnon",18959,0.480194103064508,0.519805896935492,1,0,0,0,0,0,0.0523234347803154,0.0565430666174376,0.059074845719711,0.0638219315364734,0.0594968089034232,0.0587056279339628,0.0631362413629411,0.0607099530565958,0.0651933118835382,0.0646131125059339,0.0656680204652144,0.066722928424495,0.0674086185980273,0.0619758426077325,0.0539585421172003,0.0375547233503877,0.0215201223693233,0.0215728677672873,0,0,0.11,0.255,0.345,0.187,0.077,0.026,0,0,0.506298281021644,0.346649036119424,0.0194168000556754,0.127635882803257
"336",336,"53068","Quiévrain","Wallonie",6865,"Quiévrain",6865,0.486234522942462,0.513765477057538,1,0,0,0,0,0,0.050109249817917,0.0546249089584851,0.0624908958485069,0.0588492352512746,0.0639475600873999,0.0575382374362709,0.0623452294246176,0.0630735615440641,0.0636562272396213,0.0640932265112892,0.0674435542607429,0.0652585579024035,0.0681718863801894,0.0569555717407138,0.051128914785142,0.0407865986890022,0.0203932993445011,0.0291332847778587,0,0,0.11,0.255,0.345,0.187,0.077,0.026,0,0,0.457281553398058,0.378058252427184,0.0209708737864078,0.14368932038835
"337",337,"53070","Saint-Ghislain","Wallonie",23743,"Saint-Ghislain",23743,0.481952575495936,0.518047424504064,1,0,0,0,0,0,0.0442235606283957,0.0502463884092153,0.055384744977467,0.0580381586151708,0.0525628606326075,0.0517626247736175,0.0624183970012214,0.065998399528282,0.0644821631638799,0.0680200480141515,0.0706313439750663,0.0661247525586489,0.0672198121551615,0.0614496904350756,0.0608179252832414,0.0453186202249084,0.0251021353662132,0.0301983742576759,0,0,0.11,0.255,0.345,0.187,0.077,0.026,0,0,0.419173252970944,0.35406834593734,0.0209814067208734,0.205776994370842
"338",338,"53082","Colfontaine","Wallonie",20745,"Colfontaine",20745,0.482911544950591,0.517088455049409,1,0,0,0,0,0,0.0567847674138347,0.063003133285129,0.0677271631718486,0.0690768859966257,0.0616534104603519,0.0614605929139552,0.0710532658471921,0.0679199807182454,0.0621836587129429,0.0609303446613642,0.064352856109906,0.0587611472644011,0.0569775849602314,0.0546637744034707,0.049120269944565,0.038177874186551,0.018414075680887,0.0177392142684984,0,0,0.11,0.255,0.345,0.187,0.077,0.026,0,0,0.519692168401992,0.339714156373278,0.0210825842333312,0.119511090991399
"339",339,"53083","Honnelles","Wallonie",5176,"Honnelles",5176,0.493431221020093,0.506568778979907,1,0,0,0,0,0,0.044629057187017,0.0481066460587326,0.053323029366306,0.0566074188562597,0.0519706336939722,0.0469474497681607,0.062210200927357,0.0620170015455951,0.0645285935085008,0.0674265842349304,0.0755409582689335,0.0790185471406492,0.0824961360123648,0.0687789799072643,0.053129829984544,0.0440494590417311,0.0191267387944359,0.0200927357032458,0,0,0.11,0.255,0.345,0.187,0.077,0.026,0,0,0.361779156969227,0.359710369795707,0.0237910524954745,0.254719420739591
"340",340,"53084","Quévy","Wallonie",8168,"Quévy",8168,0.489715964740451,0.510284035259549,1,0,0,0,0,0,0.0439520078354554,0.0503183153770813,0.0575416258570029,0.0599902056807052,0.0579089128305583,0.052154750244858,0.0614593535749265,0.0635406464250735,0.0659892262487757,0.07064152791381,0.0831292850146915,0.0711312438785504,0.0615817825661117,0.058643486777669,0.0525220372184133,0.0424828599412341,0.0222820763956905,0.0247306562193928,0,0,0.11,0.255,0.345,0.187,0.077,0.026,0,0,0.359514579470757,0.374009775830103,0.0235968312826563,0.242878813416484
"341",341,"55004","Braine-le-Comte","Wallonie",23443,"Braine-le-Comte",23443,0.489783730751184,0.510216269248816,1,0,0,0,0,0,0.050932047946082,0.0549844303203515,0.0612123021797552,0.0652220278974534,0.0627052851597492,0.0579277396237683,0.0615535554323252,0.0603165123917587,0.0645395213923133,0.0651367145843109,0.0703408266860043,0.0719617796357122,0.0666296975643049,0.0573732030883419,0.0458559058141023,0.0374952011261357,0.0223094313867679,0.0235038177707631,0,0,0.11,0.255,0.345,0.187,0.077,0.026,0,0,0.390753920765888,0.35938779366379,0.0222334194117277,0.227624866158594
"342",342,"55035","Le Roeulx","Wallonie",8708,"Le Roeulx",8708,0.49184657785944,0.50815342214056,1,0,0,0,0,0,0.0437528709232889,0.0540881947634359,0.0559255856683509,0.0582223242994947,0.0566146072576941,0.0524804777216353,0.0644235186035829,0.0692466697289848,0.0648828663298117,0.0684428112080845,0.0670647680293983,0.0686724850711989,0.0648828663298117,0.065112540192926,0.0556959118052366,0.0444418925126321,0.0204409738171796,0.0256086357372531,0,0,0.11,0.255,0.345,0.187,0.077,0.026,0,0,0.402833041540665,0.33694095177463,0.0208499124621996,0.239376094222505
"343",343,"55040","Soignies","Wallonie",29032,"Soignies",29032,0.485946541747038,0.514053458252962,1,0,0,0,0,0,0.0488082116285478,0.0540093689721686,0.0574882887847892,0.0642739046569303,0.0591416368145495,0.0536993662165886,0.0636538991457702,0.0620005511160099,0.0668917057040507,0.0670294847065307,0.0726784238082116,0.0693028382474511,0.0674428217139708,0.0543538164783687,0.0481537613667677,0.0406792504822265,0.0229057591623037,0.0274869109947644,0,0,0.11,0.255,0.345,0.187,0.077,0.026,0,0,0.405348955680082,0.342485990830362,0.0200203769740194,0.232144676515537
"344",344,"55050","Ecaussinnes","Wallonie",11572,"Ecaussinnes",11572,0.492395437262357,0.507604562737643,1,0,0,0,0,0,0.0526270307639129,0.0553059108192188,0.0652436916695472,0.0636882129277567,0.0580712063601797,0.0573798824749395,0.0687003110957484,0.0655893536121673,0.0703422053231939,0.0673176633252679,0.0712927756653992,0.0642067058416868,0.0604044244728655,0.0487383339094366,0.0450224680262703,0.0392326304873833,0.0198755617006568,0.0269616315243692,0,0,0.11,0.255,0.345,0.187,0.077,0.026,0,0,0.405415522835039,0.361367606688295,0.0229598203144497,0.210257050162216
"345",345,"55085","Seneffe","Wallonie",11624,"Seneffe",11624,0.484514796971783,0.515485203028217,1,0,0,0,0,0,0.047401927047488,0.055230557467309,0.0628011011699931,0.0579834824501032,0.0568651066758431,0.0523055746730902,0.0624569855471438,0.0668444597384721,0.0655540261527873,0.0628011011699931,0.0746730901582932,0.0708878183069511,0.0655540261527873,0.0566070199587061,0.0508430832759807,0.0411218169304886,0.0242601514108741,0.0258086717136958,0,0,0.11,0.255,0.345,0.187,0.077,0.026,0,0,0.405245983935743,0.341867469879518,0.0225903614457831,0.230296184738956
"346",346,"55086","Manage","Wallonie",24108,"Manage",24108,0.492243238758918,0.507756761241082,1,0,0,0,0,0,0.053177368508379,0.0594408495105359,0.0653310104529617,0.0621785299485648,0.0604363696698191,0.056080968972955,0.0671561307449809,0.0672390907582545,0.0632570101211216,0.0638377302140368,0.0703086112493778,0.0661191305790609,0.0608096897295504,0.0578231292517007,0.0500663680106189,0.0368342458934793,0.0185415629666501,0.0213622034179525,0,0,0.11,0.255,0.345,0.187,0.077,0.026,0,0,0.488837393319392,0.346182105917595,0.02034702989883,0.144633470864184
"347",347,"56001","Anderlues","Wallonie",12809,"Anderlues",12809,0.492466234678742,0.507533765321258,1,0,0,0,0,0,0.0555078460457491,0.0579280193613865,0.0595674916074635,0.0532438129440237,0.0576938090405184,0.0623780154578812,0.0758841439612772,0.0672183620891561,0.0644078382387384,0.0628464360996175,0.0664376610195956,0.0631587165274416,0.0626902958857054,0.0549613552970568,0.0510578499492544,0.0349754079163088,0.0224061206963854,0.0276368178624405,0,0,0.11,0.255,0.345,0.187,0.077,0.026,0,0,0.473829493576813,0.348656969954348,0.0202781611636055,0.157235375305234
"348",348,"56005","Beaumont","Wallonie",7140,"Beaumont",7140,0.494677871148459,0.505322128851541,1,0,0,0,0,0,0.0373949579831933,0.0466386554621849,0.0665266106442577,0.0668067226890756,0.065546218487395,0.0459383753501401,0.057703081232493,0.0645658263305322,0.0641456582633053,0.0624649859943978,0.0708683473389356,0.073249299719888,0.0696078431372549,0.0637254901960784,0.0525210084033613,0.0393557422969188,0.0226890756302521,0.0302521008403361,0,0,0.11,0.255,0.345,0.187,0.077,0.026,0,0,0.419060052219321,0.361245803804551,0.0214472211861246,0.198246922790004
"349",349,"56016","Chimay","Wallonie",9691,"Chimay",9691,0.498091012279435,0.501908987720565,1,0,0,0,0,0,0.0480858528531627,0.0491177381075224,0.0597461562274275,0.0621194923124549,0.0618099267361469,0.0529357135486534,0.058095139820452,0.0548962955319368,0.0500464348364462,0.0574760086678361,0.0692395005675369,0.0695490661438448,0.0743989268393355,0.0740893612630276,0.0566505004643484,0.0419977298524404,0.0296151068001238,0.0301310494273037,0,0,0.11,0.255,0.345,0.187,0.077,0.026,0,0,0.449218218898708,0.35581237253569,0.0214819850441876,0.173487423521414
